date, pm25
2018/5/10, 109
2018/5/11, 79
2018/5/12, 82
2018/5/13, 81
2018/5/14, 81
2018/5/15, 62
2018/5/16, 54
2018/5/17, 55
2018/5/18, 95
2018/5/19, 75
2018/5/20, 86
2018/5/21, 87
2018/5/22, 116
2018/5/23, 84
2018/5/24, 113
2018/5/25, 97
2018/5/26, 98
2018/5/27, 97
2018/5/28, 108
2018/5/29, 106
2018/5/30, 75
2018/5/31, 73
2018/6/1, 65
2018/6/2, 80
2018/6/3, 63
2018/6/4, 66
2018/6/5, 59
2018/6/6, 78
2018/6/7, 71
2018/6/8, 64
2018/6/9, 66
2018/6/10, 70
2018/6/11, 78
2018/6/12, 83
2018/6/13, 71
2018/6/14, 79
2018/6/15, 54
2018/6/16, 35
2018/6/18, 17
2018/6/19, 35
2018/6/20, 44
2018/6/21, 49
2018/6/22, 61
2018/6/23, 70
2018/6/24, 68
2018/6/25, 74
2018/6/26, 65
2018/6/27, 87
2018/6/28, 109
2018/6/29, 78
2018/6/30, 68
2018/1/1, 96
2018/1/2, 104
2018/1/3, 135
2018/1/4, 121
2018/1/5, 61
2018/1/6, 57
2018/1/7, 55
2018/1/8, 61
2018/1/9, 74
2018/1/10, 113
2018/1/11, 89
2018/1/12, 78
2018/1/13, 126
2018/1/15, 132
2018/1/16, 122
2018/1/17, 109
2018/1/18, 134
2018/1/19, 115
2018/1/20, 122
2018/1/21, 118
2018/1/22, 141
2018/1/23, 106
2018/1/24, 109
2018/1/25, 108
2018/1/26, 117
2018/1/27, 130
2018/1/28, 97
2018/1/29, 97
2018/1/30, 116
2018/1/31, 119
2018/2/1, 112
2018/2/2, 118
2018/2/3, 137
2018/2/4, 123
2018/2/5, 140
2018/2/6, 147
2018/2/7, 142
2018/2/8, 135
2018/2/9, 126
2018/2/10, 126
2018/2/11, 137
2018/2/12, 124
2018/2/13, 134
2018/2/14, 142
2018/2/15, 133
2018/2/16, 123
2018/2/17, 92
2018/2/18, 71
2018/2/19, 72
2018/2/20, 73
2018/2/21, 69
2018/2/22, 79
2018/2/23, 90
2018/2/24, 85
2018/2/25, 98
2018/2/26, 110
2018/2/27, 114
2018/2/28, 86
2018/3/1, 53
2018/3/2, 69
2018/3/3, 68
2018/3/4, 73
2018/3/5, 73
2018/3/6, 74
2018/3/7, 81
2018/3/8, 89
2018/3/9, 108
2018/3/10, 117
2018/3/11, 104
2018/3/12, 123
2018/3/13, 85
2018/3/14, 52
2018/3/15, 54
2018/3/16, 50
2018/3/17, 61
2018/3/18, 68
2018/3/19, 65
2018/3/20, 66
2018/3/21, 79
2018/3/22, 106
2018/3/23, 107
2018/3/24, 105
2018/3/25, 85
2018/3/26, 95
2018/3/27, 107
2018/3/28, 105
2018/3/29, 81
2018/3/30, 93
2018/3/31, 92
2017/10/1, 65
2017/10/2, 51
2017/10/3, 51
2017/10/4, 58
2017/10/5, 89
2017/10/6, 65
2017/10/7, 86
2017/10/8, 76
2017/10/9, 106
2017/10/10, 75
2017/10/11, 67
2017/10/12, 95
2017/10/13, 82
2017/10/14, 71
2017/10/15, 43
2017/10/16, 57
2017/10/17, 70
2017/10/18, 69
2017/10/19, 69
2017/10/20, 72
2017/10/21, 84
2017/10/22, 58
2017/10/23, 69
2017/10/24, 106
2017/10/25, 107
2017/10/26, 134
2017/10/27, 109
2017/10/28, 117
2017/10/29, 119
2017/10/30, 135
2017/11/13, 114
2017/11/14, 126
2017/11/15, 137
2017/11/16, 48
2017/11/17, 89
2017/11/18, 75
2017/11/19, 68
2017/11/20, 70
2017/11/21, 82
2017/11/22, 112
2017/11/23, 126
2017/11/24, 108
2017/11/25, 96
2017/11/26, 79
2017/11/27, 87
2017/11/28, 97
2017/11/29, 128
2017/11/30, 115
2017/12/1, 116
2017/12/2, 106
2017/12/3, 105
2017/12/4, 90
2017/12/5, 119
2017/12/6, 149
2017/12/7, 106
2017/12/8, 126
2017/12/19, 121
2017/12/20, 98
2017/12/21, 74
2017/12/22, 87
2017/12/23, 86
2017/12/24, 78
2017/12/26, 60
2017/12/27, 86
2017/12/28, 111
2017/12/29, 109
2017/12/30, 100
2017/12/31, 89
2017/7/1, 78
2017/7/2, 73
2017/7/3, 79
2017/7/4, 77
2017/7/5, 100
2017/7/6, 94
2017/7/7, 104
2017/7/8, 85
2017/7/9, 75
2017/7/10, 87
2017/7/18, 94
2017/7/19, 103
2017/7/20, 100
2017/7/21, 83
2017/7/22, 80
2017/7/23, 83
2017/7/24, 89
2017/7/25, 66
2017/7/26, 67
2017/7/27, 51
2017/7/28, 56
2017/7/29, 63
2017/7/30, 71
2017/7/31, 68
2017/8/1, 70
2017/8/2, 76
2017/8/3, 72
2017/8/4, 72
2017/8/5, 85
2017/8/6, 94
2017/8/7, 93
2017/8/8, 76
2017/8/9, 60
2017/8/10, 81
2017/8/11, 71
2017/8/12, 88
2017/8/13, 57
2017/8/14, 54
2017/8/15, 44
2017/8/16, 60
2017/8/17, 72
2017/8/18, 62
2017/8/19, 89
2017/8/20, 65
2017/8/21, 74
2017/8/22, 54
2017/8/23, 49
2017/8/24, 51
2017/8/25, 58
2017/8/26, 58
2017/8/27, 31
2017/8/28, 49
2017/8/29, 75
2017/8/30, 103
2017/8/31, 112
2017/9/1, 80
2017/9/2, 59
2017/9/3, 53
2017/9/4, 52
2017/9/5, 63
2017/9/6, 58
2017/9/11, 96
2017/9/12, 104
2017/9/13, 103
2017/9/14, 60
2017/9/18, 66
2017/9/19, 82
2017/9/20, 123
2017/9/21, 139
2017/9/22, 94
2017/9/23, 69
2017/9/24, 62
2017/9/25, 64
2017/9/26, 81
2017/9/27, 82
2017/9/28, 61
2017/9/29, 96
2017/9/30, 47
2017/4/1, 92
2017/4/2, 110
2017/4/3, 97
2017/4/4, 114
2017/4/5, 81
2017/4/6, 71
2017/4/7, 76
2017/4/8, 87
2017/4/9, 73
2017/4/10, 67
2017/4/11, 66
2017/4/12, 74
2017/4/13, 61
2017/4/14, 36
2017/4/15, 53
2017/4/16, 48
2017/4/17, 37
2017/4/18, 48
2017/4/19, 49
2017/4/20, 31
2017/4/21, 38
2017/4/22, 72
2017/4/23, 81
2017/4/24, 70
2017/4/25, 70
2017/4/26, 76
2017/4/27, 70
2017/5/3, 49
2017/5/4, 33
2017/5/5, 87
2017/5/6, 77
2017/5/7, 94
2017/5/8, 88
2017/5/9, 77
2017/5/10, 67
2017/5/11, 64
2017/5/12, 65
2017/5/13, 91
2017/5/14, 85
2017/5/15, 81
2017/5/16, 110
2017/5/17, 86
2017/5/18, 81
2017/5/19, 73
2017/5/20, 106
2017/5/21, 67
2017/5/22, 66
2017/5/23, 69
2017/5/24, 71
2017/5/25, 80
2017/5/26, 77
2017/5/27, 84
2017/5/28, 71
2017/5/29, 91
2017/5/30, 107
2017/5/31, 109
2017/6/1, 38
2017/6/2, 36
2017/6/7, 38
2017/6/8, 62
2017/6/9, 68
2017/6/10, 70
2017/6/11, 107
2017/6/12, 93
2017/6/13, 92
2017/6/14, 81
2017/6/15, 72
