date, pm25, pm10, o3, no2, so2, co
2019/11/14, 41, 44, , 21, , 
2019/11/15, 102, 39, , 15, , 
2019/11/16, 99, 28, , 12, , 
2019/11/17, 67, 23, , 10, , 
2019/11/18, 54, 30, , 11, , 
2019/11/19, 54, 54, , 17, , 
2019/11/20, 87, 57, , 14, , 
2019/11/21, 104, 64, , 18, , 
2019/11/22, 122, 66, , 17, , 
2019/11/23, 135, 51, , 13, , 
2019/11/24, 94, , , , , 
2019/11/26, 129, 78, , 28, , 
2019/11/27, 149, 52, , 15, , 
2019/11/28, 80, 59, , 19, , 
2019/11/29, 96, 62, , 20, , 
2019/11/30, 119, 56, , 22, , 
2019/12/1, 96, 40, , 12, , 
2019/12/2, 57, 55, , 13, , 
2019/12/3, 97, , , , , 
2019/12/5, 91, 42, , 13, , 
2019/12/6, 60, 63, , 19, , 
2019/12/7, 104, 70, , 23, , 
2019/12/8, 111, 75, , 25, , 
2019/12/9, 123, 82, , 23, , 
2019/12/10, 146, 94, , 28, , 
2019/12/11, 165, 92, , 19, , 
2019/12/12, 178, 74, , 24, , 
2019/12/13, 137, 73, , 22, , 
2019/12/14, 133, 61, , 16, , 
2019/12/15, 118, 52, , 19, , 
2019/12/16, 95, 50, , 16, , 
2019/12/17, 93, 37, , 13, , 
2019/12/18, 61, 41, , 14, , 
2019/12/19, 70, 42, , 15, , 
2019/12/20, 77, 43, , 16, , 
2019/12/21, 80, 31, , 13, , 
2019/12/22, 58, 38, , 15, , 
2019/12/23, 70, 46, , 18, , 5
2019/12/24, 83, 25, , 35, , 2
2019/12/25, 43, 23, , 17, , 2
2019/12/26, 33, 19, , 15, , 5
2019/12/27, 28, 16, , 15, , 4
2019/12/28, 24, 5, , 11, , 4
2019/12/29, 9, , , , , 
2019/2/25, 124, 47, , , 5, 
2019/2/26, 127, , , , 4, 
2018/12/7, 5, , , , 1, 
2018/5/7, 828, , , , 28, 
2017/8/4, 64, 18, , , 25, 
2017/8/5, 60, , , , , 
2017/4/26, 35, 4, , , 63, 
2017/4/27, 12, 3, , , 63, 
2017/4/28, 7, 4, , , 63, 
2017/4/29, 10, 3, , , 63, 
2017/4/30, 11, 3, , , 64, 
2017/5/1, 9, 4, , , 55, 
2017/5/2, 12, 19, , , 5, 
2017/5/3, 40, 44, , 1, 8, 
2017/5/4, 88, 44, , 1, 7, 
2017/5/5, 83, 44, , 1, 5, 
2017/5/6, 96, 43, , 2, 7, 
2017/5/7, 93, 38, , 2, 6, 
2017/5/8, 78, 46, , 1, 5, 
2017/5/9, 92, , , , , 
2017/1/2, 169, 84, , , 3, 7
2017/1/3, 167, 78, , , 3, 7
2017/1/4, 145, 39, , , 2, 1
2017/1/5, 90, 44, , , 3, 2
2017/1/6, 105, 63, , , 2, 4
2017/1/7, 122, 88, , , 2, 5
2017/1/8, 173, 66, , , 3, 2
2017/1/9, 148, 58, , , 2, 3
2017/1/10, 148, 24, , , 3, 3
2017/1/11, 79, 20, , , 1, 3
2017/1/12, 67, , , , , 
2017/2/10, 39, 12, , , 1, 
2017/2/11, 41, 16, , , 2, 
2017/2/12, 48, 18, , , 3, 
2017/2/13, 53, 16, , , 2, 
2017/2/14, 51, 42, , , 3, 
2017/2/15, 98, 65, , , 4, 
2017/2/16, 138, 47, , , 5, 
2017/2/17, 100, 44, , , 5, 
2017/2/18, 100, , , , , 
2017/2/21, 100, 49, , , 6, 
2017/2/22, 104, 62, , 1, 6, 
2017/2/23, 106, , , , , 
2016/11/11, 133, 76, , , 6, 4
2016/11/12, 159, 58, , , 7, 3
2016/11/13, 130, 66, , , 19, 4
2016/11/14, 138, , , , , 
2016/11/18, 160, 69, , , 65, 7
2016/11/19, 140, 64, , , 65, 11
2016/11/20, 133, 61, , , 66, 11
2016/11/21, 125, 50, , , 67, 10
2016/11/22, 114, 28, , 1, 67, 4
2016/11/23, 71, 43, , , 64, 7
2016/11/24, 97, 57, , , 66, 7
2016/11/25, 126, 41, , , 66, 7
2016/11/26, 98, 59, , , 68, 10
2016/11/27, 128, 99, , , 70, 19
2016/11/28, 165, 78, , , 70, 10
2016/11/29, 158, 67, , , 71, 8
2016/11/30, 148, 58, , , 71, 10
2016/12/1, 123, 91, , , 71, 15
2016/12/2, 161, 97, , , 70, 13
2016/12/3, 176, 69, , , 72, 13
2016/12/4, 150, 73, , , 28, 10
2016/12/5, 160, 98, , , 3, 14
2016/12/6, 147, 95, , , 4, 13
2016/12/7, 154, 74, , , 6, 16
2016/12/8, 148, 81, , , 6, 12
2016/12/9, 167, 88, , , 6, 15
2016/12/10, 176, 88, , , 5, 11
2016/12/11, 178, 84, , , 4, 10
2016/12/12, 172, , , , , 
2016/12/30, 184, 105, , , 2, 7
2016/12/31, 187, , , , , 
2016/7/7, 2, 2, , 1, 4, 
2016/7/8, 6, , , , , 
2016/8/2, 35, 10, , 1, 4, 2
2016/8/3, 43, , , , , 
2016/8/5, 3, 1, , 1, 5, 5
2016/8/6, 5, 1, , 1, 5, 4
2016/8/7, 2, 1, , 1, 5, 5
2016/8/8, 2, 1, , 1, 5, 5
2016/8/9, 2, , , , , 
2015/7/1, 5, 4, 34, 1, 20, 9
2015/7/2, 6, 4, 42, 1, 22, 8
2015/7/3, 8, 3, 59, 1, 23, 7
2015/7/4, 6, 1, 21, 1, 24, 5
2015/7/5, 3, 2, 48, 1, 19, 8
2015/7/6, 3, 3, 52, 1, 21, 7
2015/7/7, 6, 4, 65, 1, 21, 10
2015/7/8, 11, 3, 83, , 21, 8
2015/7/9, 9, 3, 54, , 21, 7
2015/7/10, 7, 2, 38, , 22, 9
2015/7/11, 6, 4, 49, , 22, 9
2015/7/12, 9, 3, 57, , 21, 10
2015/7/13, 9, 3, 50, , 21, 6
2015/7/14, 7, 3, 55, , 21, 7
2015/7/15, 7, 1, 39, , 21, 6
2015/7/16, 3, 2, 47, , 21, 6
2015/7/17, 5, 2, 41, , 21, 7
2015/7/18, 5, 2, 45, , 21, 8
2015/7/19, 5, 2, 29, 1, 21, 9
2015/7/20, 7, , , , , 
2015/7/22, 5, 2, 36, 1, 37, 6
2015/7/23, 4, 1, 30, 1, 29, 5
2015/7/24, 2, 2, 35, 1, 26, 6
2015/7/25, 4, 1, 40, 1, 32, 6
2015/7/26, 4, 2, 38, 1, 31, 8
2015/7/27, 5, 1, 43, 1, 32, 5
2015/7/28, 4, 1, 57, 1, 33, 4
2015/7/29, 5, 2, 69, 1, 38, 5
2015/7/30, 6, 1, 27, 1, 23, 7
